ModelID SchemaID Location Date 
1 11 0 15 
1 12 0 2.1845 
1 5 0 string 
1 6 0 1 
1 6 1 2 
1 6 2 3 
1 6 3 4 
1 6 4 5 
1 6 5 6 
1 6 6 7 
1 8 0,0 11 
1 8 0,1 12 
1 8 0,2 13 
1 8 0,3 14 
1 8 0,4 15 
1 8 1,0 21 
1 8 1,1 22 
1 8 1,2 23 
1 8 1,3 24 
1 8 1,4 25 
1 8 1,5 26 
1 8 1,6 27 
1 8 2,0 31 
1 8 2,1 32 
1 11 0,0 115 
1 12 0,0 12.1845 
1 13 0,0 1string 
1 14 0,0 11 
1 14 0,1 12 
1 14 0,2 13 
1 14 0,3 14 
1 14 0,4 15 
1 14 0,5 16 
1 14 0,6 17 
1 11 1,0 215 
1 12 1,0 22.1845 
1 13 1,0 2string 
1 14 1,0 21 
1 14 1,1 22 
1 14 1,2 23 
1 14 1,3 24 
1 14 1,4 25 
1 14 1,5 26 
1 14 1,6 27  
